Code,Red,Green,Blue,Label,Étiquette
10,0,0,0,Cloud,Nuages
20,51,51,255,Water,Eau
30,153,102,102,Exposed land/barren,Sols nus/terres stériles
34,204,102,153,Urban/developed,Milieu urbain/bâti
35,225,225,225,Greenhouses,Serres
50,255,255,0,Shrubland,Arbustaie
80,153,51,153,Wetland,Terres humides
85,80,27,80,Peatland,Tourbière exploitée
110,204,204,0,Grassland,Prairies
120,204,102,0,Agriculture (undifferentiated),Agriculture (indifférenciée)
122,255,204,51,Pasture/forages,Pâturage/cultures fourragères
130,120,153,246,Too wet to be seeded,Trop humide pour l’ensemencement
131,255,153,0,Fallow,Jachère
132,102,0,0,Cereals,Céréales
133,218,227,29,Barley,Orge
134,153,204,0,Other grains,Autres céréales
135,210,219,37,Millet,Millet
136,209,213,43,Oats,Avoine
137,202,206,50,Rye,Seigle
138,195,198,58,Spelt,Épeautre
139,185,188,68,Triticale,Triticale
140,167,179,77,Wheat,Blé
141,185,198,78,Switchgrass,Panic érigé
142,153,153,0,Sorghum,Sorgho
143,233,226,177,Quinoa,Quinoa
145,128,151,105,Winter wheat,Blé d'hiver
146,146,165,91,Spring wheat,Blé de printemps
147,255,255,153,Corn,Maïs
148,152,136,124,Tobacco,Tabac
149,121,155,147,Ginseng,Ginseng
150,94,162,99,Oilseeds,Oléagineux
151,82,174,119,Borage,Bourrache
152,65,191,122,Camelina,Caméline
153,214,255,112,Canola/rapeseed,Canola/Colza
154,140,140,255,Flaxseed,Lin
155,214,204,0,Mustard,Moutarde
156,255,127,0,Safflower,Carthame
157,49,84,145,Sunflower,Tournesol
158,204,153,51,Soybeans,Soya
160,137,110,67,Pulses,Légumineuses
161,153,102,51,Other pulses,Autres légumineuses
162,143,108,61,Peas,Pois
163,182,164,114,Chickpeas,Pois chiche
167,130,101,74,Beans,Haricots
168,163,144,105,Fababeans,Féveroles
174,184,89,0,Lentils,Lentilles
175,183,75,21,Vegetables,Légumes
176,255,138,138,Tomatoes,Tomates
177,255,204,204,Potatoes,Pomme de terre
178,111,85,202,Sugarbeets,Betterave à sucre
179,255,204,255,Other vegetables,Autres légumes
180,220,84,36,Fruits,Fruits
181,208,90,48,Berries,Petits fruits
182,210,0,0,Blueberry,Bleuet
183,204,0,0,Cranberry,Canneberge
185,220,50,0,Other berry,Autres baie
188,255,102,102,Orchards,Vergers
189,197,69,59,Other fruits,Autres fruits
190,116,66,189,Vineyards,Vignobles
191,255,204,153,Hops,Houblon
192,181,251,5,Sod,Gazon en plaques
193,204,255,5,Herbs,Fines herbes
194,7,249,140,Nursery,Pépinière
195,0,255,204,Buckwheat,Sarrasin
196,204,51,204,Canaryseed,Graines à canaris
197,142,118,114,Hemp,Chanvre
198,177,149,79,Vetch,Vesce
199,116,154,102,Other crops,Autres cultures
200,0,153,0,Forest (undifferentiated),Forêt (indifférenciée)
210,0,102,0,Coniferous,Forêt de conifères
220,0,204,0,Broadleaf,Forêt de feuillus
230,204,153,0,Mixedwood,Forêt mixte
